,Sample,Study,ERBB2,EGFR
12130,TCGA-G9-6499-01,TCGA,13.11,11.61
12131,TCGA-VD-A8KK-01,TCGA,11.5,6.943
12132,TCGA-AR-A2LL-01,TCGA,14.89,7.907
12133,TCGA-G9-6365-01,TCGA,12.63,11.85
12134,GTEX-ZAB4-1426-SM-5CVN6,GTEX,10.64,11.81
12135,TARGET-50-PALERC-01,TARGET,12.72,11.28
12136,GTEX-12BJ1-0226-SM-5LUA2,GTEX,12.04,9.889
12137,TCGA-GU-AATP-01,TCGA,17.43,11.72
12138,GTEX-12WSC-0826-SM-5EQ5Q,GTEX,12.96,11.45
12139,TCGA-G9-7510-01,TCGA,13.41,12.37
12140,GTEX-S95S-0326-SM-4B66U,GTEX,11.61,12.37
12141,GTEX-1497J-2326-SM-5NQBK,GTEX,10.57,12.46
12142,GTEX-13QBU-1926-SM-5IJEW,GTEX,11.83,11.67
12143,GTEX-PWN1-1726-SM-2S1O9,GTEX,13.07,12.5
12144,TCGA-RW-A686-01,TCGA,8.687,7.859
12145,GTEX-145LV-0326-SM-5Q5BW,GTEX,12.57,10.18
12146,TCGA-QF-A5YS-01,TCGA,13.39,10.53
12147,GTEX-X585-0426-SM-4E3JZ,GTEX,13.52,12.3
12148,TCGA-4H-AAAK-01,TCGA,14.32,9.642
12149,TCGA-RW-A686-06,TCGA,8.387,7.363
12150,TCGA-C5-A1BK-01,TCGA,12.99,11.38
12151,TCGA-D7-A4YT-01,TCGA,14.51,11.21
12152,TCGA-UC-A7PD-01,TCGA,12.23,13.17
12153,GTEX-14BMV-2326-SM-5RQJ4,GTEX,12.82,12.17
12154,TCGA-MY-A5BD-01,TCGA,13.17,11.22
12155,GTEX-QVUS-0626-SM-447CC,GTEX,13.61,12.12
12156,GTEX-139T8-0626-SM-5KLZX,GTEX,13.59,13.48
12157,TCGA-J4-AAU2-01,TCGA,13.83,11.6
12158,GTEX-P4QS-1326-SM-3NMCD,GTEX,8.932,11.62
12159,TCGA-BR-7704-11,TCGA,12.81,12.91
12160,TCGA-HS-A5N7-01,TCGA,11.05,11.94
12161,TCGA-44-A47G-01,TCGA,12.96,12.09
12162,TCGA-BR-8589-01,TCGA,13.36,8.903
12163,GTEX-131YS-0626-SM-5EGKL,GTEX,12.89,12.13
12164,TCGA-A8-A08P-01,TCGA,14.02,8.049
12165,TCGA-B0-5695-01,TCGA,12.86,12.9
12166,TCGA-GN-A8LL-06,TCGA,13.09,4.444
12167,GTEX-ZVT3-0926-SM-5GICK,GTEX,12.15,11.36
12168,TCGA-L5-A4OM-11,TCGA,14.13,12.98
12169,GTEX-ZT9W-1126-SM-57WDR,GTEX,13.39,13.59
12170,GTEX-13U4I-1026-SM-5LU3G,GTEX,12.73,11.49
12171,GTEX-12C56-2026-SM-5FQSI,GTEX,12.25,12.58
12172,GTEX-13O1R-2526-SM-5N9FW,GTEX,11.61,10.82
12173,GTEX-13112-0011-R5b-SM-5DUV8,GTEX,10.55,11.45
